1116	Arkansas	[0.9090909090909091, 20.63370786516854, 16.602247191011237, 0.3548387096774194, 16.685258964143426, 18.254980079681275, 0.42857142857142855, 18.357142857142858, 18.25]
1117	Arkansas St	[0.625, 17.753086419753085, 16.104938271604937, 0.4090909090909091, 16.37883008356546, 17.409470752089135, 0.5, 15.405405405405405, 16.594594594594593]
1118	Armstrong St	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1119	Army	[0.5263157894736842, 18.130718954248366, 17.405228758169933, 0.43478260869565216, 17.32085561497326, 17.93048128342246, 0.6, 19.45, 19.2]
1120	Auburn	[0.5294117647058824, 17.718446601941746, 17.09223300970874, 0.18181818181818182, 15.707865168539326, 18.187265917602996, 0.3333333333333333, 15.814432989690722, 17.917525773195877]
1121	Augusta	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1122	Austin Peay	[0.38235294117647056, 18.029197080291972, 18.927007299270073, 0.13953488372093023, 16.469914040114613, 19.318051575931232, 0.375, 17.876923076923077, 18.338461538461537]
1123	Ball St	[0.36585365853658536, 16.084592145015105, 16.706948640483382, 0.18181818181818182, 15.699164345403899, 18.128133704735376, 0.0, 15.25, 19.0]
1124	Baylor	[0.7755102040816326, 18.141057934508815, 15.204030226700253, 0.45161290322580644, 17.322709163346612, 17.290836653386453, 0.6, 17.6625, 16.425]
1125	Belmont	[0.918918918918919, 19.83108108108108, 16.655405405405407, 0.5454545454545454, 18.65340909090909, 18.255681818181817, 0.7142857142857143, 18.601769911504423, 17.345132743362832]
1126	Bethune-Cookman	[0.4375, 15.914396887159533, 16.03112840466926, 0.1568627450980392, 14.473170731707317, 16.882926829268293, 0.4444444444444444, 17.47945205479452, 18.08219178082192]
1127	Binghamton	[0.21052631578947367, 15.058823529411764, 16.705882352941178, 0.1276595744680851, 13.88888888888889, 17.645502645502646, 0.0, 13.875, 18.0625]
1128	Birmingham So	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1129	Boise St	[0.85, 18.599388379204893, 15.700305810397554, 0.47368421052631576, 16.727868852459018, 16.78688524590164, 0.5625, 17.876923076923077, 16.415384615384614]
1130	Boston College	[0.5106382978723404, 16.93193717277487, 16.596858638743456, 0.23529411764705882, 15.985454545454546, 17.73090909090909, 0.26666666666666666, 16.826446280991735, 18.165289256198346]
1131	Boston Univ	[0.6585365853658537, 17.393393393393392, 15.957957957957959, 0.5111111111111111, 16.958677685950413, 17.322314049586776, 0.5, 16.5, 16.041666666666668]
1132	Bowling Green	[0.6136363636363636, 15.926136363636363, 14.857954545454545, 0.3333333333333333, 15.52046783625731, 16.52046783625731, 0.2, 16.048780487804876, 16.585365853658537]
1133	Bradley	[0.6041666666666666, 16.645833333333332, 15.526041666666666, 0.16666666666666666, 14.472602739726028, 17.15753424657534, 0.08333333333333333, 13.693877551020408, 15.918367346938776]
1134	Brooklyn	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1135	Brown	[0.5675675675675675, 16.513333333333332, 16.373333333333335, 0.3409090909090909, 16.03932584269663, 17.02247191011236, 0.5, 17.375, 18.75]
1136	Bryant	[0.6976744186046512, 18.379310344827587, 17.0, 0.4583333333333333, 16.857142857142858, 17.76103896103896, 0.0, 23.77777777777778, 24.0]
1137	Bucknell	[0.75, 17.059490084985836, 15.490084985835693, 0.5416666666666666, 16.444444444444443, 16.217054263565892, 0.6666666666666666, 14.666666666666666, 14.333333333333334]
1138	Buffalo	[0.7692307692307693, 18.715654952076676, 16.357827476038338, 0.4523809523809524, 17.17507418397626, 17.41839762611276, 0.3333333333333333, 16.61855670103093, 16.824742268041238]
1139	Butler	[0.7333333333333333, 17.770491803278688, 15.114754098360656, 0.5454545454545454, 15.796992481203008, 16.18045112781955, 0.5238095238095238, 16.46511627906977, 16.325581395348838]
1140	BYU	[0.8409090909090909, 20.560906515580736, 17.20113314447592, 0.5588235294117647, 19.39855072463768, 18.782608695652176, 0.45, 19.548780487804876, 19.48780487804878]
1141	C Michigan	[0.6153846153846154, 18.100946372239747, 17.318611987381704, 0.23809523809523808, 16.881656804733726, 18.414201183431953, 0.6666666666666666, 17.041666666666668, 16.5]
1142	Cal Poly SLO	[0.6451612903225806, 16.29032258064516, 15.17741935483871, 0.26666666666666666, 14.989010989010989, 16.456043956043956, 0.5833333333333334, 15.145833333333334, 14.0625]
1143	California	[0.6862745098039216, 17.300970873786408, 15.815533980582524, 0.48484848484848486, 16.633962264150945, 17.713207547169812, 0.5, 17.008849557522122, 17.04424778761062]
1144	Campbell	[0.4864864864864865, 16.446666666666665, 16.72, 0.18181818181818182, 15.96629213483146, 18.213483146067414, 0.16666666666666666, 16.122448979591837, 18.448979591836736]
1145	Canisius	[0.725, 18.432098765432098, 16.833333333333332, 0.4888888888888889, 17.106849315068494, 17.046575342465754, 0.5, 17.90625, 17.875]
1146	Cent Arkansas	[0.3333333333333333, 17.660377358490567, 19.28930817610063, 0.13953488372093023, 17.13872832369942, 20.838150289017342, 0.0, 16.875, 18.5]
1147	Centenary	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1148	Central Conn	[0.3783783783783784, 16.76, 17.906666666666666, 0.2978723404255319, 16.798941798941797, 19.158730158730158, 0.0, 14.816326530612244, 16.897959183673468]
1149	Charleston So	[0.6666666666666666, 19.442379182156134, 17.345724907063197, 0.36363636363636365, 16.905027932960895, 17.64804469273743, 0.6, 17.1, 16.9]
1150	Charlotte	[0.6744186046511628, 17.544159544159545, 16.273504273504273, 0.3611111111111111, 17.38144329896907, 18.625429553264606, 0.625, 17.415384615384614, 17.353846153846153]
1151	Chattanooga	[0.6904761904761905, 17.994082840236686, 17.08284023668639, 0.38095238095238093, 16.542274052478135, 18.314868804664723, 0.2, 18.25, 19.1]
1152	Chicago St	[0.5161290322580645, 16.784, 16.872, 0.13725490196078433, 14.599520383693045, 18.11990407673861, 0.0, 14.0, 16.0]
1153	Cincinnati	[0.8363636363636363, 17.44018058690745, 14.01805869074492, 0.5666666666666667, 15.012345679012345, 14.716049382716049, 0.5294117647058824, 14.788321167883211, 14.554744525547445]
1154	Citadel	[0.3235294117647059, 16.375, 17.852941176470587, 0.13953488372093023, 15.203438395415473, 18.59025787965616, 0.14285714285714285, 15.821428571428571, 18.25]
1155	Clemson	[0.6666666666666666, 16.205655526992288, 14.09254498714653, 0.30303030303030304, 14.06015037593985, 15.954887218045112, 0.5384615384615384, 16.304761904761904, 14.914285714285715]
1156	Cleveland St	[0.7105263157894737, 17.104575163398692, 15.287581699346406, 0.3541666666666667, 16.03598971722365, 17.336760925449873, 0.6666666666666666, 16.96, 15.52]
1157	Coastal Car	[0.7380952380952381, 17.51764705882353, 15.735294117647058, 0.3902439024390244, 16.628048780487806, 17.378048780487806, 0.5, 17.0625, 17.125]
1158	Col Charleston	[0.5217391304347826, 15.794594594594594, 15.437837837837838, 0.4358974358974359, 15.335443037974683, 15.664556962025317, 0.4166666666666667, 14.75, 16.354166666666668]
1159	Colgate	[0.55, 16.84923076923077, 15.84, 0.2830188679245283, 15.734265734265735, 17.14219114219114, 1.0, 22.0, 21.0]
1160	Colorado	[0.7959183673469388, 18.414141414141415, 16.0, 0.3235294117647059, 15.29496402877698, 16.79136690647482, 0.5294117647058824, 16.175182481751825, 16.78832116788321]
1161	Colorado St	[0.8333333333333334, 18.703125, 15.994791666666666, 0.4444444444444444, 16.924137931034483, 17.220689655172414, 0.7272727272727273, 17.363636363636363, 15.818181818181818]
1162	Columbia	[0.5952380952380952, 16.668639053254438, 15.201183431952662, 0.35135135135135137, 14.96989966555184, 15.478260869565217, 0.5, 16.1875, 16.9375]
1163	Connecticut	[0.7916666666666666, 17.37084398976982, 14.588235294117647, 0.4838709677419355, 16.448, 16.424, 0.76, 16.738916256157637, 15.950738916256158]
1164	Coppin St	[0.3225806451612903, 17.180722891566266, 18.29718875502008, 0.23529411764705882, 16.320388349514563, 19.305825242718445, 0.3, 17.175, 19.4]
1165	Cornell	[0.2972972972972973, 15.719063545150501, 16.99665551839465, 0.2727272727272727, 15.39943342776204, 17.886685552407933, 0.4, 17.4, 16.75]
1166	Creighton	[0.8, 19.43424317617866, 16.23821339950372, 0.4857142857142857, 17.209964412811388, 16.661921708185055, 0.631578947368421, 17.407894736842106, 16.36842105263158]
1167	CS Bakersfield	[0.5, 16.679536679536678, 16.20849420849421, 0.2619047619047619, 15.746312684365781, 17.014749262536874, 0.46153846153846156, 15.174311926605505, 15.045871559633028]
1168	CS Fullerton	[0.42105263157894735, 17.254901960784313, 17.80392156862745, 0.2222222222222222, 16.828729281767956, 18.403314917127073, 0.5714285714285714, 18.071428571428573, 17.0]
1169	CS Northridge	[0.4864864864864865, 18.06040268456376, 18.093959731543624, 0.17391304347826086, 16.93582887700535, 18.893048128342247, 0.8, 18.463414634146343, 17.390243902439025]
1170	CS Sacramento	[0.7777777777777778, 17.69655172413793, 16.47586206896552, 0.28888888888888886, 15.805555555555555, 17.433333333333334, 0.3333333333333333, 19.083333333333332, 19.166666666666668]
1171	Dartmouth	[0.5135135135135135, 16.187290969899667, 16.17391304347826, 0.29545454545454547, 15.274787535410765, 16.328611898016998, 'Nan', 'Nan', 'Nan']
1172	Davidson	[0.8378378378378378, 19.2751677852349, 14.89261744966443, 0.717948717948718, 19.365079365079364, 18.06984126984127, 0.42105263157894735, 17.137254901960784, 18.15686274509804]
1173	Dayton	[0.84, 18.24438902743142, 15.371571072319203, 0.4375, 16.846153846153847, 17.107692307692307, 0.6363636363636364, 16.897727272727273, 16.238636363636363]
1174	Delaware	[0.631578947368421, 17.779935275080906, 17.15210355987055, 0.5, 17.71502590673575, 18.29015544041451, 0.5, 17.95876288659794, 18.63917525773196]
1175	Delaware St	[0.5, 15.851851851851851, 15.539094650205762, 0.3137254901960784, 15.239709443099274, 17.60774818401937, 0.45454545454545453, 15.842696629213483, 16.1123595505618]
1176	Denver	[0.7045454545454546, 17.301408450704226, 14.923943661971832, 0.38461538461538464, 14.529968454258675, 15.041009463722398, 0.2857142857142857, 15.0, 16.285714285714285]
1177	DePaul	[0.48, 17.792079207920793, 17.905940594059405, 0.2777777777777778, 17.04794520547945, 19.0, 0.09090909090909091, 16.15909090909091, 19.522727272727273]
1178	Detroit	[0.625, 18.484662576687118, 17.177914110429448, 0.3191489361702128, 17.264550264550266, 18.333333333333332, 0.5, 16.125, 16.25]
1179	Drake	[0.5609756097560976, 17.337349397590362, 17.253012048192772, 0.25, 15.114186851211073, 17.377162629757784, 0.2857142857142857, 16.106194690265486, 16.849557522123895]
1180	Drexel	[0.47368421052631576, 15.511254019292604, 15.659163987138264, 0.46153846153846156, 15.83596214511041, 16.0, 0.3076923076923077, 15.514018691588785, 16.46728971962617]
1181	Duke	[0.9795918367346939, 20.931297709923665, 15.857506361323155, 0.6206896551724138, 18.512820512820515, 17.478632478632477, 0.78125, 18.2421875, 16.015625]
1182	Duquesne	[0.4444444444444444, 17.97245179063361, 18.110192837465565, 0.28205128205128205, 17.525641025641026, 19.326923076923077, 0.16666666666666666, 14.75, 17.916666666666668]
1183	E Illinois	[0.4722222222222222, 16.323024054982817, 16.522336769759452, 0.3181818181818182, 15.181818181818182, 17.073863636363637, 0.5, 15.5, 17.03125]
1184	E Kentucky	[0.8421052631578947, 18.445901639344264, 16.321311475409836, 0.5454545454545454, 17.775280898876403, 17.09550561797753, 0.5555555555555556, 18.805555555555557, 18.083333333333332]
1185	E Michigan	[0.7555555555555555, 16.110192837465565, 14.28099173553719, 0.24390243902439024, 14.740963855421686, 16.89156626506024, 0.5714285714285714, 14.964285714285714, 15.464285714285714]
1186	E Washington	[0.6578947368421053, 18.863636363636363, 17.733766233766232, 0.34782608695652173, 17.827493261455526, 19.223719676549866, 0.625, 20.65625, 19.5625]
1187	East Carolina	[0.6153846153846154, 17.68888888888889, 16.85079365079365, 0.24324324324324326, 16.304054054054053, 18.41891891891892, 0.6, 17.97530864197531, 17.48148148148148]
1188	Edwardsville	[0.6285714285714286, 17.19572953736655, 16.76156583629893, 0.0975609756097561, 15.993920972644377, 18.565349544072948, 0.0, 17.5, 19.0625]
1189	Elon	[0.6756756756756757, 17.558528428093645, 16.642140468227424, 0.47619047619047616, 16.87905604719764, 17.404129793510325, 0.2727272727272727, 16.31111111111111, 17.822222222222223]
1190	ETSU	[0.5853658536585366, 18.83132530120482, 18.759036144578314, 0.34782608695652173, 16.25, 17.929347826086957, 0.0, 12.666666666666666, 16.606060606060606]
1191	Evansville	[0.6739130434782609, 17.46524064171123, 16.28342245989305, 0.3333333333333333, 15.987261146496815, 17.229299363057326, 0.42857142857142855, 15.821428571428571, 16.107142857142858]
1192	F Dickinson	[0.29411764705882354, 17.72992700729927, 19.27007299270073, 0.21568627450980393, 15.699757869249394, 18.765133171912833, 0.6666666666666666, 17.416666666666668, 16.833333333333332]
1193	Fairfield	[0.3902439024390244, 15.145454545454545, 15.503030303030304, 0.25, 15.543661971830986, 16.867605633802818, 0.5, 13.494949494949495, 14.686868686868687]
1194	FL Atlantic	[0.5, 16.947712418300654, 16.673202614379086, 0.17777777777777778, 15.022099447513812, 17.30939226519337, 0.2, 16.4390243902439, 17.853658536585368]
1195	FL Gulf Coast	[0.8604651162790697, 18.040462427745666, 15.242774566473988, 0.4418604651162791, 17.24712643678161, 18.04022988505747, 0.7, 16.7, 15.35]
1196	Florida	[0.8958333333333334, 17.84935064935065, 13.454545454545455, 0.5428571428571428, 16.562277580071175, 15.238434163701067, 0.7307692307692307, 16.33492822966507, 14.507177033492823]
1197	Florida A&M	[0.4482758620689655, 15.016949152542374, 16.43220338983051, 0.0784313725490196, 15.643031784841076, 19.290953545232274, 0.375, 16.369230769230768, 17.138461538461538]
1198	Florida Intl	[0.6666666666666666, 16.761245674740483, 16.14532871972318, 0.37777777777777777, 16.392265193370164, 18.093922651933703, 0.4, 15.463414634146341, 16.146341463414632]
1199	Florida St	[0.6326530612244898, 17.64467005076142, 16.385786802030456, 0.375, 15.6875, 17.0390625, 0.6470588235294118, 17.226277372262775, 17.05109489051095]
1200	Fordham	[0.43902439024390244, 17.44848484848485, 17.496969696969696, 0.09523809523809523, 15.904761904761905, 19.779761904761905, 0.4444444444444444, 16.416666666666668, 17.47222222222222]
1201	Fresno St	[0.5789473684210527, 16.263665594855304, 15.762057877813504, 0.32558139534883723, 15.770114942528735, 17.155172413793103, 0.125, 14.84375, 16.875]
1202	Furman	[0.34285714285714286, 16.148936170212767, 17.368794326241133, 0.1111111111111111, 14.703601108033242, 18.393351800554015, 0.5714285714285714, 15.107142857142858, 15.321428571428571]
1203	G Washington	[0.7727272727272727, 18.365168539325843, 15.410112359550562, 0.39473684210526316, 15.828947368421053, 16.736842105263158, 0.6428571428571429, 16.72566371681416, 16.194690265486727]
1204	Ga Southern	[0.5757575757575758, 16.684014869888475, 15.858736059479554, 0.391304347826087, 15.973045822102426, 17.099730458221025, 0.5454545454545454, 14.386363636363637, 14.681818181818182]
1205	Gardner Webb	[0.7096774193548387, 17.92217898832685, 16.79377431906615, 0.391304347826087, 16.40106951871658, 17.21390374331551, 0.6923076923076923, 16.867924528301888, 16.339622641509433]
1206	George Mason	[0.4634146341463415, 16.714714714714713, 17.015015015015017, 0.37142857142857144, 16.473498233215548, 16.897526501766784, 0.29411764705882354, 15.779411764705882, 16.926470588235293]
1207	Georgetown	[0.8541666666666666, 17.594805194805193, 14.784415584415584, 0.4642857142857143, 15.93886462882096, 16.323144104803493, 0.5, 16.76829268292683, 16.25609756097561]
1208	Georgia	[0.76, 16.56019656019656, 14.82063882063882, 0.4411764705882353, 15.725631768953068, 16.47653429602888, 0.15384615384615385, 16.48076923076923, 17.942307692307693]
1209	Georgia St	[0.7894736842105263, 18.478964401294498, 15.805825242718447, 0.5106382978723404, 17.07894736842105, 16.768421052631577, 0.7, 17.753086419753085, 15.753086419753087]
1210	Georgia Tech	[0.58, 16.3681592039801, 15.238805970149254, 0.30303030303030304, 15.686567164179104, 17.119402985074625, 0.4166666666666667, 15.571428571428571, 15.959183673469388]
1211	Gonzaga	[0.9555555555555556, 20.211111111111112, 14.777777777777779, 0.8181818181818182, 18.233962264150943, 16.00754716981132, 0.8214285714285714, 18.446428571428573, 16.392857142857142]
1212	Grambling	[0.07407407407407407, 14.62037037037037, 18.564814814814813, 0.0196078431372549, 13.318627450980392, 19.764705882352942, 0.25, 15.0625, 17.4375]
1213	Grand Canyon	[0.6153846153846154, 17.66346153846154, 17.067307692307693, 0.36, 16.72636815920398, 18.238805970149254, 0.5, 17.5625, 18.5625]
1214	Hampton	[0.5945945945945946, 17.119205298013245, 16.165562913907284, 0.43478260869565216, 16.02139037433155, 16.93048128342246, 0.5384615384615384, 17.26923076923077, 16.75]
1215	Hardin-Simmons	['Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan', 'Nan']
1216	Hartford	[0.6410256410256411, 15.403174603174604, 14.93968253968254, 0.45652173913043476, 15.512195121951219, 16.471544715447155, 0.14285714285714285, 16.357142857142858, 17.642857142857142]
1217	Harvard	[0.8888888888888888, 17.68384879725086, 14.694158075601374, 0.6341463414634146, 16.160714285714285, 15.410714285714286, 0.6363636363636364, 16.477272727272727, 15.795454545454545]
1218	Hawaii	[0.7037037037037037, 18.69724770642202, 16.853211009174313, 0.4074074074074074, 17.972350230414747, 18.63594470046083, 0.45454545454545453, 17.528089887640448, 18.49438202247191]
1219	High Point	[0.7058823529411765, 17.693430656934307, 16.7007299270073, 0.4772727272727273, 16.921787709497206, 17.391061452513966, 0.5, 16.641509433962263, 16.22641509433962]
1220	Hofstra	[0.46511627906976744, 17.179190751445088, 16.809248554913296, 0.26666666666666666, 16.57617728531856, 17.761772853185594, 0.4444444444444444, 18.43243243243243, 18.27027027027027]
1221	Holy Cross	[0.6578947368421053, 16.6084142394822, 15.760517799352751, 0.3404255319148936, 15.243386243386244, 16.502645502645503, 0.5, 17.083333333333332, 17.0]
1222	Houston	[0.673469387755102, 18.32323232323232, 16.515151515151516, 0.2857142857142857, 16.447552447552447, 18.566433566433567, 0.45454545454545453, 16.629213483146067, 17.573033707865168]
1223	Houston Bap	[0.4482758620689655, 17.572649572649574, 18.196581196581196, 0.13043478260869565, 15.159029649595688, 18.700808625336926, 0.6666666666666666, 16.04, 16.0]
1224	Howard	[0.4444444444444444, 15.205479452054794, 14.812785388127853, 0.20754716981132076, 13.905882352941177, 16.814117647058822, 0.2222222222222222, 13.479452054794521, 16.356164383561644]
1225	Idaho	[0.5405405405405406, 18.006688963210703, 17.59197324414716, 0.2857142857142857, 17.46783625730994, 18.695906432748536, 0.45454545454545453, 18.204545454545453, 19.136363636363637]
1226	Idaho St	[0.45454545454545453, 17.090225563909776, 16.93984962406015, 0.08888888888888889, 14.898071625344352, 17.123966942148762, 0.0, 13.183673469387756, 15.959183673469388]
1227	IL Chicago	[0.375, 16.149532710280372, 16.7601246105919, 0.20512820512820512, 15.117460317460317, 17.409523809523808, 0.38461538461538464, 16.96153846153846, 17.76923076923077]
1228	Illinois	[0.7346938775510204, 17.756345177664976, 15.598984771573605, 0.375, 15.077519379844961, 15.968992248062015, 0.631578947368421, 17.026315789473685, 16.092105263157894]
1229	Illinois St	[0.7111111111111111, 18.016574585635357, 15.458563535911603, 0.39473684210526316, 16.957928802588995, 17.883495145631066, 0.5, 16.63917525773196, 16.47422680412371]
1230	Incarnate Word	[0.8125, 19.81679389312977, 18.091603053435115, 0.43478260869565216, 18.20212765957447, 18.79787234042553, 'Nan', 'Nan', 'Nan']
1231	Indiana	[0.8214285714285714, 20.125, 16.03125, 0.42857142857142855, 17.44, 17.502222222222223, 0.4444444444444444, 17.768707482993197, 17.360544217687075]
1232	Indiana St	[0.725, 16.615384615384617, 15.526153846153846, 0.4358974358974359, 17.044585987261147, 17.426751592356688, 0.46153846153846156, 15.30188679245283, 16.867924528301888]
1233	Iona	[0.9210526315789473, 21.224755700325733, 18.28013029315961, 0.5106382978723404, 19.181102362204726, 18.834645669291337, 0.6, 19.834710743801654, 18.975206611570247]
1234	Iowa	[0.8113207547169812, 19.162352941176472, 15.152941176470588, 0.41935483870967744, 17.296442687747035, 17.43083003952569, 0.4375, 17.14503816793893, 16.641221374045802]
1235	Iowa St	[0.9387755102040817, 20.883248730964468, 16.67005076142132, 0.42424242424242425, 18.8, 19.007407407407406, 0.6956521739130435, 19.037837837837838, 17.945945945945947]
1236	IPFW	[0.6857142857142857, 18.419928825622776, 17.09608540925267, 0.4090909090909091, 16.203966005665723, 17.01416430594901, 0.6, 17.46987951807229, 16.40963855421687]
1237	IUPUI	[0.24324324324324326, 15.822368421052632, 17.74342105263158, 0.15555555555555556, 15.076923076923077, 18.35164835164835, 0.125, 15.9375, 18.40625]
1238	Jackson St	[0.5454545454545454, 16.200743494423794, 15.241635687732343, 0.2545454545454545, 15.615384615384615, 17.615384615384617, 0.25, 17.0, 18.3125]
1239	Jacksonville	[0.5833333333333334, 17.273972602739725, 17.671232876712327, 0.14583333333333334, 16.304123711340207, 19.309278350515463, 0.3333333333333333, 17.0, 19.0]
1240	Jacksonville St	[0.6363636363636364, 16.739622641509435, 16.618867924528303, 0.19148936170212766, 14.997361477572559, 17.46174142480211, 0.75, 14.909090909090908, 14.181818181818182]
1241	James Madison	[0.627906976744186, 16.853025936599423, 16.2478386167147, 0.36585365853658536, 15.45288753799392, 17.112462006079028, 0.6, 16.433333333333334, 16.716666666666665]
1242	Kansas	[0.9574468085106383, 19.936507936507937, 15.682539682539682, 0.5483870967741935, 17.317460317460316, 16.88888888888889, 0.7, 17.826446280991735, 16.421487603305785]
1243	Kansas St	[0.86, 17.541147132169577, 14.922693266832917, 0.3333333333333333, 15.580246913580247, 16.97119341563786, 0.42105263157894735, 15.960526315789474, 16.263157894736842]
1244	Kennesaw	[0.21621621621621623, 15.635135135135135, 17.466216216216218, 0.12244897959183673, 15.209068010075567, 19.007556675062972, 0.3333333333333333, 17.0, 18.0]
1245	Kent	[0.6382978723404256, 17.37203166226913, 16.45910290237467, 0.5121951219512195, 16.608955223880596, 16.459701492537313, 0.5, 16.083333333333332, 15.541666666666666]
1246	Kentucky	[0.9272727272727272, 19.5, 14.63963963963964, 0.6129032258064516, 16.92063492063492, 16.285714285714285, 0.72, 17.7, 15.49]
1247	La Salle	[0.7073170731707317, 17.706586826347305, 16.11377245508982, 0.46153846153846156, 15.658227848101266, 16.10759493670886, 0.5, 16.73611111111111, 16.61111111111111]
1248	Lafayette	[0.6511627906976745, 18.3757225433526, 17.53179190751445, 0.37254901960784315, 17.073170731707318, 18.351219512195122, 0.0, 13.0, 23.25]
1249	Lamar	[0.3235294117647059, 16.50181818181818, 17.57090909090909, 0.08333333333333333, 15.625, 19.947916666666668, 0.6, 18.45, 18.05]
1250	Lehigh	[0.65, 17.5625, 16.0875, 0.44680851063829785, 16.449086161879894, 17.065274151436032, 0.6666666666666666, 18.5, 16.666666666666668]
1251	Liberty	[0.3611111111111111, 17.058823529411764, 17.54325259515571, 0.14285714285714285, 16.088495575221238, 18.123893805309734, 0.4166666666666667, 15.854166666666666, 16.770833333333332]
1252	Lipscomb	[0.5882352941176471, 18.85090909090909, 18.741818181818182, 0.3076923076923077, 17.002375296912113, 19.387173396674584, 'Nan', 'Nan', 'Nan']
1253	Long Beach St	[0.7272727272727273, 16.954545454545453, 15.280303030303031, 0.3404255319148936, 16.827225130890053, 18.680628272251308, 0.36363636363636365, 16.636363636363637, 17.386363636363637]
1254	Long Island	[0.5675675675675675, 17.933333333333334, 17.64666666666667, 0.3695652173913043, 18.482573726541556, 19.41554959785523, 0.3, 16.05, 19.275]
1255	Longwood	[0.21875, 17.015503875968992, 19.162790697674417, 0.14893617021276595, 15.846153846153847, 20.042440318302386, 0.4166666666666667, 18.632653061224488, 19.142857142857142]
1256	Louisiana Tech	[0.975609756097561, 19.3109756097561, 14.798780487804878, 0.627906976744186, 18.115606936416185, 17.277456647398843, 0.6666666666666666, 18.61855670103093, 16.577319587628867]
1257	Louisville	[0.8679245283018868, 18.894117647058824, 14.188235294117646, 0.75, 17.938697318007662, 15.35632183908046, 0.8214285714285714, 18.69333333333333, 15.537777777777778]
1258	Loy Marymount	[0.35135135135135137, 16.727272727272727, 17.62962962962963, 0.1794871794871795, 15.765079365079366, 18.355555555555554, 0.5294117647058824, 16.536231884057973, 17.536231884057973]
1259	Loyola MD	[0.6, 16.220183486238533, 15.859327217125383, 0.30434782608695654, 15.099195710455763, 17.276139410187668, 0.8, 14.926829268292684, 13.75609756097561]
1260	Loyola-Chicago	[0.5384615384615384, 16.798722044728436, 15.993610223642172, 0.30952380952380953, 14.805882352941177, 15.958823529411765, 0.6, 15.876543209876543, 15.185185185185185]
1261	LSU	[0.8, 18.545454545454547, 16.520884520884522, 0.4411764705882353, 17.63768115942029, 17.86231884057971, 0.4166666666666667, 16.551020408163264, 16.816326530612244]
